stock #,Availability,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,Lab,Certificate #,Price Per Carat,Depth %,Table %,Country,State,City,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Shade,Milky,Eye Clean,Treatment,Girdle Thin,Girdle Thick,Girdle %,Girdle Condition,Culet Size,Culet Condition,Comment,Key to symbols,fancy color,Fancy Color Intensity,Fancy Color Overtone,Certificate File,Diamond Video,Diamond Image,Heart Image,Arrow Image,Asset Image
KKV1086,Available,OVAL,1.540,D,VVS2,,EX,EX,,,9.21X6.56X4.10,IGI,519232065,29259,62.5,58.00,India,MH,Mumbai,14.00,33.40,44.50,40.50,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1086,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1086,,,
KKV1087,Available,OVAL,1.720,D,VS1,,EX,EX,N,,9.63X6.88X4.26,IGI,520273387,26390.8,61.9,57.00,India,MH,Mumbai,14.50,34.40,44.00,40.50,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1087,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1087,,,
KKV1088,Available,RADIANT,2.090,E,VVS2,,EX,EX,N,,8.69X6.39X4.39,IGI,520285729,38034.75,68.7,64.50,India,MH,Mumbai,12.50,42.60,53.00,33.30,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1088,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1088,,,
KKV1089,Available,OVAL,1.800,E,VS1,,EX,EX,,,9.60X6.88X4.30,IGI,519232066,24774.4,62.5,59.50,India,MH,Mumbai,13.00,33.30,44.50,40.70,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1089,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1089,,,
KKV1090,Available,ROUND,2.500,E,SI1,EX,EX,EX,N,,8.72X8.79X5.27,IGI,522222479,34168.75,60.1,61.00,India,MH,Mumbai,12.50,32.90,43.50,40.90,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1090,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1090,,,
KKV1092,Available,PRINCESS,1.710,D,VVS2,,EX,EX,N,,6.49X6.37X4.66,IGI,520285730,29032.5,73.2,67.50,India,MH,Mumbai,13.50,46.00,56.00,38.30,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1092,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1092,,,
KKV1095,Available,OVAL,1.600,D,VVS2,,EX,EX,,,9.27X6.63X4.17,IGI,519232067,29259,62.9,60.00,India,MH,Mumbai,14.00,34.80,44.50,40.40,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1095,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1095,,,
KKV1097,Available,OVAL,2.060,D,VS2,,EX,EX,,,9.78X7.17X4.61,IGI,519232069,34126.75,64.3,59.00,India,MH,Mumbai,15.00,36.80,44.50,40.70,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1097,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1097,,,
KKV1098,Available,EMERALD,1.880,E,VS1,,EX,EX,N,,8.31X5.86X3.92,IGI,520285732,24833.28,66.9,63.00,India,MH,Mumbai,13.50,22.90,49.00,39.50,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1098,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1098,,,
KKV1099,Available,OVAL,1.800,D,VVS2,,EX,EX,N,,9.66X6.90X4.28,IGI,519239231,29032.5,62,59.50,India,MH,Mumbai,13.00,32.80,44.00,40.60,,,,,,,,,NN,,,,,,,,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1099,http://13.232.198.214/StoneDetailsFinal.aspx?pcsid=KKV1099,,,
